date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-08-31,A114260,A004,위험중립형소규모,Fixed Income,KODEX 국고채3년,3,58140.0,174420.0,58140.0,174420.0,0.24200967095176318,,Rebal
2021-08-31,A148070,A004,위험중립형소규모,Fixed Income,KOSEF 국고채10년,1,122270.0,122270.0,122270.0,122270.0,0.16965097160458711,,Rebal
2021-08-31,A069500,A004,위험중립형소규모,Equity,KODEX 200,3,41985.0,125955.0,41985.0,125955.0,0.17476394968885064,,Rebal
2021-08-31,A251350,A004,위험중립형소규모,Equity,KODEX 선진국MSCI World,5,20640.0,103200.0,20640.0,103200.0,0.1431911365796466,,Rebal
2021-08-31,A273130,A004,위험중립형소규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,109870.0,109870.0,109870.0,109870.0,0.15244583503881562,,Rebal
2021-08-31,A157490,A004,위험중립형소규모,Equity,TIGER 소프트웨어,3,18645.0,55935.0,18645.0,55935.0,0.07761042853277648,,Rebal
2021-08-31,A237370,A004,위험중립형소규모,Alternative,KODEX 배당성장채권혼합,2,12130.0,24260.0,12130.0,24260.0,0.0336610171843239,,Rebal
2021-08-31,C000001,A004,위험중립형소규모,Cash,현금,4805.0,1,4805.0,1,4805.0,0.006666990419236453,,Rebal
