date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-10-29,A114260,A006,위험중립형대규모,Fixed Income,KODEX 국고채3년,6,57210.0,343260.0,57210.0,343260.0,0.2649694705396497,,Rebal
2021-10-29,A122260,A006,위험중립형대규모,Fixed Income,KOSEF 통안채1년,2,101165.0,202330.0,101165.0,202330.0,0.15618269817132005,,Rebal
2021-10-29,A273130,A006,위험중립형대규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,2,106935.0,213870.0,106935.0,213870.0,0.16509066207631207,,Rebal
2021-10-29,A069500,A006,위험중립형대규모,Equity,KODEX 200,5,39460.0,197300.0,39460.0,197300.0,0.15229993747443013,,Rebal
2021-10-29,A251350,A006,위험중립형대규모,Equity,KODEX 선진국MSCI World,10,20805.0,208050.0,20805.0,208050.0,0.16059808409303186,,Rebal
2021-10-29,A157490,A006,위험중립형대규모,Equity,TIGER 소프트웨어,6,17140.0,102840.0,17140.0,102840.0,0.07938431611693053,,Rebal
2021-10-29,A237370,A006,위험중립형대규모,Alternative,KODEX 배당성장채권혼합,2,12035.0,24070.0,12035.0,24070.0,0.018580129219511066,,Rebal
2021-10-29,C000001,A006,위험중립형대규모,Cash,현금,3750.0,1,3750.0,1,3750.0,0.0028947023088145615,,Rebal
