date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-09-30,A237370,A008,적극투자형중규모,Alternative,KODEX 배당성장채권혼합,19,12160.0,231040.0,12160.0,231040.0,0.23656376388675573,,Rebal
2021-09-30,A157490,A008,적극투자형중규모,Equity,TIGER 소프트웨어,15,16260.0,243900.0,16260.0,243900.0,0.24973122408232223,,Rebal
2021-09-30,A278540,A008,적극투자형중규모,Equity,KODEX MSCI Korea TR,18,12875.0,231750.0,12875.0,231750.0,0.23729073874980802,,Rebal
2021-09-30,A102780,A008,적극투자형중규모,Equity,KODEX 삼성그룹,13,10075.0,130975.0,10075.0,130975.0,0.1341063840679875,,Rebal
2021-09-30,A069500,A008,적극투자형중규모,Equity,KODEX 200,2,40195.0,80390.0,40195.0,80390.0,0.08231198484615779,,Rebal
2021-09-30,A114260,A008,적극투자형중규모,Fixed Income,KODEX 국고채3년,1,57760.0,57760.0,57760.0,57760.0,0.059140940971688934,,Rebal
2021-09-30,C000001,A008,적극투자형중규모,Cash,현금,835.0,1,835.0,1,835.0,0.0008549633952797829,,Rebal
