date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-07-31,A157490,A008,적극투자형중규모,Equity,TIGER 소프트웨어,13,19150.0,248950.0,19150.0,248950.0,0.24000964087731982,,Rebal
2021-07-31,A278540,A008,적극투자형중규모,Equity,KODEX MSCI Korea TR,18,13595.0,244710.0,13595.0,244710.0,0.23592190889370931,,Rebal
2021-07-31,A237370,A008,적극투자형중규모,Alternative,KODEX 배당성장채권혼합,20,12165.0,243300.0,12165.0,243300.0,0.23456254519161243,,Rebal
2021-07-31,A102780,A008,적극투자형중규모,Equity,KODEX 삼성그룹,14,10475.0,146650.0,10475.0,146650.0,0.1413834658953965,,Rebal
2021-07-31,A069500,A008,적극투자형중규모,Equity,KODEX 200,2,42485.0,84970.0,42485.0,84970.0,0.08191853458664738,,Rebal
2021-07-31,A114260,A008,적극투자형중규모,Fixed Income,KODEX 국고채3년,1,58030.0,58030.0,58030.0,58030.0,0.05594601108700892,,Rebal
2021-07-31,C000001,A008,적극투자형중규모,Cash,현금,10640.0,1,10640.0,1,10640.0,0.010257893468305615,,Rebal
