date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-07-31,A114260,A004,위험중립형소규모,Fixed Income,KODEX 국고채3년,3,58030.0,174090.0,58030.0,174090.0,0.2420387478884695,,Rebal
2021-07-31,A148070,A004,위험중립형소규모,Fixed Income,KOSEF 국고채10년,1,122445.0,122445.0,122445.0,122445.0,0.1702362828720986,,Rebal
2021-07-31,A069500,A004,위험중립형소규모,Equity,KODEX 200,3,42485.0,127455.0,42485.0,127455.0,0.17720172676273696,,Rebal
2021-07-31,A251350,A004,위험중립형소규모,Equity,KODEX 선진국MSCI World,5,19800.0,99000.0,19800.0,99000.0,0.13764050801860234,,Rebal
2021-07-31,A273130,A004,위험중립형소규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,109690.0,109690.0,109690.0,109690.0,0.15250290226828778,,Rebal
2021-07-31,A157490,A004,위험중립형소규모,Equity,TIGER 소프트웨어,3,19150.0,57450.0,19150.0,57450.0,0.07987320389564347,,Rebal
2021-07-31,A237370,A004,위험중립형소규모,Alternative,KODEX 배당성장채권혼합,2,12165.0,24330.0,12165.0,24330.0,0.033826197576692876,,Rebal
2021-07-31,C000001,A004,위험중립형소규모,Cash,현금,4805.0,1,4805.0,1,4805.0,0.006680430717468527,,Rebal
