date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-08-31,A237370,A008,적극투자형중규모,Alternative,KODEX 배당성장채권혼합,20,12130.0,242600.0,12130.0,242600.0,0.2359176330440279,,Rebal
2021-08-31,A157490,A008,적극투자형중규모,Equity,TIGER 소프트웨어,13,18645.0,242385.0,18645.0,242385.0,0.23570855517467726,,Rebal
2021-08-31,A278540,A008,적극투자형중규모,Equity,KODEX MSCI Korea TR,18,13490.0,242820.0,13490.0,242820.0,0.23613157318940997,,Rebal
2021-08-31,A102780,A008,적극투자형중규모,Equity,KODEX 삼성그룹,13,10555.0,137215.0,10555.0,137215.0,0.13343544112999295,,Rebal
2021-08-31,A069500,A008,적극투자형중규모,Equity,KODEX 200,2,41985.0,83970.0,41985.0,83970.0,0.08165706367150463,,Rebal
2021-08-31,A114260,A008,적극투자형중규모,Fixed Income,KODEX 국고채3년,1,58140.0,58140.0,58140.0,58140.0,0.056538545693239003,,Rebal
2021-08-31,C000001,A008,적극투자형중규모,Cash,현금,21195.0,1,21195.0,1,21195.0,0.020611188097148275,,Rebal
