date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-08-31,A237370,A007,적극투자형소규모,Alternative,KODEX 배당성장채권혼합,14,12130.0,169820.0,12130.0,169820.0,0.2357105182799878,,Rebal
2021-08-31,A157490,A007,적극투자형소규모,Equity,TIGER 소프트웨어,9,18645.0,167805.0,18645.0,167805.0,0.23291369402881493,,Rebal
2021-08-31,A278540,A007,적극투자형소규모,Equity,KODEX MSCI Korea TR,13,13490.0,175370.0,13490.0,175370.0,0.24341392998917358,,Rebal
2021-08-31,A102780,A007,적극투자형소규모,Equity,KODEX 삼성그룹,10,10555.0,105550.0,10555.0,105550.0,0.14650362268550648,,Rebal
2021-08-31,A069500,A007,적극투자형소규모,Equity,KODEX 200,1,41985.0,41985.0,41985.0,41985.0,0.058275268578408236,,Rebal
2021-08-31,A114260,A007,적극투자형소규모,Fixed Income,KODEX 국고채3년,1,58140.0,58140.0,58140.0,58140.0,0.08069844266163284,,Rebal
2021-08-31,C000001,A007,적극투자형소규모,Cash,현금,1790.0,1,1790.0,1,1790.0,0.00248452377647614,,Rebal
