D A T E,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량
6/8/2007 12:00:00 AM,1654017,,,,,,,,,,,,,,,,100617,,65446,67747,,,,,,,,,,,,,,,,,,,,,
6/15/2007 12:00:00 AM,253315,,,,,,,,,,,,,,,,70775,,63254,89699,,,,,,,,,,,,,,,,,,,,,
6/22/2007 12:00:00 AM,383748,,,,,,,,,,,,,,,,113336,,63175,75373,,,,,,,,,,,,,,,,,,,,,
6/29/2007 12:00:00 AM,706860,,,,,,,,,,,,,,,,75843,,62181,63917,,,,,,,,,,,,,,,,,,,,,
7/6/2007 12:00:00 AM,434891,,,,,,,,,,,,,,,,118403,,63345,67126,,,,,,,,,,,,,,,,,,,,,
7/13/2007 12:00:00 AM,859538,,,,,,,,,,,,,,,,93007,,61888,156975,,,,,,,,,,,,,,,,,,,,,
7/20/2007 12:00:00 AM,1694882,,,,,,,,,,,,,,,,68458,,63214,85624,,,,,,,,,,,,,,,,,,,,,
7/27/2007 12:00:00 AM,948844,,,,,,,,,,,,,,,,18213,,15332,43799,,,,,,,,,,,,,,,,,,,,,
8/3/2007 12:00:00 AM,661759,,,,,,,,,,,,,,,,115281,,112132,63833,,,,,,,,,,,,,,,,,,,,,
8/10/2007 12:00:00 AM,930362,,,,,,,,,,,,,,,,109043,,95144,284106,,,,,,,,,,,,,,,,,,,,,
8/17/2007 12:00:00 AM,3100570,,,,,,,,,,,,,,,,76336,,67404,76130,,,,,,,,,,,,,,,,,,,,,
8/24/2007 12:00:00 AM,2295661,,,,,,,,,,,,,,,,64133,,60579,68084,,,,,,,,,,,,,,,,,,,,,
8/31/2007 12:00:00 AM,766124,,,,,,,,,,,,,,,,77985,,62694,63823,,,,,,,,,,,,,,,,,,,,,
9/7/2007 12:00:00 AM,1643665,,,,,,,,,,,,,,,,40209,,32161,32017,,,,,,,,,,,,,,,,,,,,,
9/14/2007 12:00:00 AM,345021,,,,,,,,,,,,,,,,7944,,1230,2483,,,,,,,,,,,,,,,,,,,,,
9/21/2007 12:00:00 AM,631227,,,,,,,,,,,,,,,,8724,,1652,2214,,,,,,,,,,,,,,,,,,,,,
9/28/2007 12:00:00 AM,296800,,,,,,,,,,,,,,,,10410,,1380,11598,,,,,,,,,,,,,,,,,,,,,
10/5/2007 12:00:00 AM,1427703,,,,,,,,,,,,,,,,8765,,1016,14889,,,,,,,,,,,,,,,,,,,,,
10/12/2007 12:00:00 AM,1599854,,,,,,,,,,,,,,,,4849,,255859,4027,,,,,,,,,,,,,,,,,,,,,
10/19/2007 12:00:00 AM,3618270,,,,,,,,,,,,,,,,6684,,716,10041,,,,,,,,,,,,,,,,,,,,,
10/26/2007 12:00:00 AM,880850,,,,,,,,,,,,,,,,16818,,573488,3756,,,,,,,,,,,,,,,,,,,,,
11/2/2007 12:00:00 AM,3434637,,,,,,,,,,,,,,,,3286,,1069,5294,,,,,,,,,,,,,,,,,,,,,
11/9/2007 12:00:00 AM,1015092,,,,,,,,,,,,,,,,23145,,2716,2646,,,,,,,,,,,,,,,,,,,,,
11/16/2007 12:00:00 AM,761687,,,,,,,,,,,,,,,,1060,,1593,1053,,,,,,,,,,,,,,,,,,,,,
11/23/2007 12:00:00 AM,1378564,,,,,,,,,,,,,,,,8718,,2680,7674,,,,,,,,,,,,,,,,,,,,,
11/30/2007 12:00:00 AM,1095550,,,,,,,,,,,,,,,,1995,,567,1062,,,,,,,,,,,,,,,,,,,,,
12/7/2007 12:00:00 AM,2797881,,,,,,,,,,,,,,,,2509,,1080,8684,,,,,,,,,,,,,,,,,,,,,
12/14/2007 12:00:00 AM,562978,,,,,,,,,,,,,,,,54768,,3057,2621,,,,,,,,,,,,,,,,,,,,,
12/21/2007 12:00:00 AM,1652122,,,,,,,,,,,,,,,,1008,,95,4411,,,,,,,,,,,,,,,,,,,,,
