9|2100|7.00,Last Update : 2021-03-09 14:44,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Series (Company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,M,Ascending,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period(From),20061231,Korean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period(To),CPD-1TD [20210308] [20210308],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,A069500,A105190,A102110,A232080,A278540,A229200,A196230,A371460,A293180,A130730,A122260,A314250,A261220,A139260,A364980,A251350,A292150,A091160,A368590,A367380,A091180,A091170,A372330,A283580,A371160,A364960,A245710,A132030,A102780,A214980,A360200,A130680,A302190,A261240,A157490,A148070,A153130,A364990,A266370,A305080,A114260,A195930,A273130,A245340
Name,KODEX 200,KINDEX 200,TIGER 200,TIGER 코스닥150,KODEX MSCI Korea TR,KODEX 코스닥 150,KBSTAR 단기통안채,TIGER 차이나전기차SOLACTIVE,HANARO 200,KOSEF 단기자금,KOSEF 통안채1년,KODEX 미국FANG플러스(H),KODEX WTI원유선물(H),TIGER 200 IT,TIGER KRX2차전지K-뉴딜,KODEX 선진국MSCI World,TIGER TOP10,KODEX 반도체,KBSTAR 미국나스닥100,KINDEX 미국나스닥100,KODEX 자동차,KODEX 은행,KODEX 차이나항셍테크,KODEX 중국본토CSI300,TIGER 차이나항셍테크,TIGER KRX BBIG K-뉴딜,KINDEX 베트남VN30(합성),KODEX 골드선물(H),KODEX 삼성그룹,KODEX 단기채권PLUS,KINDEX 미국S&P500,TIGER 원유선물Enhanced(H),TIGER 중장기국채,KODEX 미국달러선물,TIGER 소프트웨어,KOSEF 국고채10년,KODEX 단기채권,TIGER KRX게임K-뉴딜,KODEX IT,TIGER 미국채10년선물,KODEX 국고채3년,TIGER 유로스탁스50(합성 H),KODEX 종합채권(AA-이상)액티브,TIGER 미국다우존스30
Item Code,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900
Unit,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares
Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D A T E,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량
12/28/2006 12:00:00 AM,411821,,,,,,,,,,,,,,,,,30352,,,19135,1862,,,,,,,,,,,,,,,,,,,,,,
1/31/2007 12:00:00 AM,1076133,,,,,,,,,,,,,,,,,6665,,,194,2785,,,,,,,,,,,,,,,,,,,,,,
2/28/2007 12:00:00 AM,8197023,,,,,,,,,,,,,,,,,14190,,,4431,30873,,,,,,,,,,,,,,,,,,,,,,
3/30/2007 12:00:00 AM,1820484,,,,,,,,,,,,,,,,,1947,,,3300,5360,,,,,,,,,,,,,,,,,,,,,,
4/30/2007 12:00:00 AM,580982,,,,,,,,,,,,,,,,,65864,,,64321,73507,,,,,,,,,,,,,,,,,,,,,,
5/31/2007 12:00:00 AM,548280,,,,,,,,,,,,,,,,,64990,,,62136,71012,,,,,,,,,,,,,,,,,,,,,,
6/29/2007 12:00:00 AM,706860,,,,,,,,,,,,,,,,,75843,,,62181,63917,,,,,,,,,,,,,,,,,,,,,,
7/31/2007 12:00:00 AM,3199961,,,,,,,,,,,,,,,,,166165,,,161927,73522,,,,,,,,,,,,,,,,,,,,,,
8/31/2007 12:00:00 AM,766124,,,,,,,,,,,,,,,,,77985,,,62694,63823,,,,,,,,,,,,,,,,,,,,,,
9/28/2007 12:00:00 AM,296800,,,,,,,,,,,,,,,,,10410,,,1380,11598,,,,,,,,,,,,,,,,,,,,,,
10/31/2007 12:00:00 AM,793126,,,,,,,,,,,,,,,,,6016,,,983,2809,,,,,,,,,,,,,,,,,,,,,,
11/30/2007 12:00:00 AM,1095550,,,,,,,,,,,,,,,,,1995,,,567,1062,,,,,,,,,,,,,,,,,,,,,,
12/28/2007 12:00:00 AM,2767006,,,,,,,,,,,,,,,,,148578,,,1480,2554,,,,,,,,,,,,,,,,,,,,,,
1/31/2008 12:00:00 AM,2897025,,,,,,,,,,,,,,,,,9013,,,741,6380,,,,,,,,,,,,,,,,,,,,,,
2/29/2008 12:00:00 AM,3653059,,,,,,,,,,,,,,,,,5373,,,222,584,,,,,,,,,,,,,,,,,,,,,,
3/31/2008 12:00:00 AM,653864,,,,,,,,,,,,,,,,,3967,,,4316,6042,,,,,,,,,,,,,,,,,,,,,,
4/30/2008 12:00:00 AM,1401421,,59484,,,,,,,,,,,,,,,4598,,,2643,2014,,,,,,,,,,,,,,,,,,,,,,
5/30/2008 12:00:00 AM,2761655,,10079,,,,,,,,,,,,,,,3933,,,2487,4325,,,,,,,1045203,,,,,,,,,,,,,,,
6/30/2008 12:00:00 AM,845093,,455,,,,,,,,,,,,,,,57564,,,714,659,,,,,,,532286,,,,,,,,,,,,,,,
7/31/2008 12:00:00 AM,2310549,,3108,,,,,,,,,,,,,,,767,,,409,652,,,,,,,398617,,,,,,,,,,,,,,,
8/29/2008 12:00:00 AM,1547849,,217,,,,,,,,,,,,,,,3275,,,275,713,,,,,,,381049,,,,,,,,,,,,,,,
9/30/2008 12:00:00 AM,3101896,92638,550608,,,,,,,,,,,,,,,1893,,,1961,2256,,,,,,,349634,,,,,,,,,,,,,,,
10/31/2008 12:00:00 AM,4500466,19608,406771,,,,,,,,,,,,,,,3994,,,4456,17882,,,,,,,1272877,,,,,,,,,,,,,,,
11/28/2008 12:00:00 AM,4408332,376786,9210,,,,,,,,,,,,,,,6870,,,421,7390,,,,,,,5729705,,,,,,,,,,,,,,,
12/30/2008 12:00:00 AM,5024053,210498,3102,,,,,,,,,,,,,,,1731,,,287,1920,,,,,,,1012666,,,,,,,,,,,,,,,
1/30/2009 12:00:00 AM,3991756,720926,200507,,,,,,,,,,,,,,,1694,,,1122,11585,,,,,,,438955,,,,,,,,,,,,,,,
2/27/2009 12:00:00 AM,5180657,147066,1507528,,,,,,,,,,,,,,,685,,,890,10760,,,,,,,152489,,,,,,,,,,,,,,,
3/31/2009 12:00:00 AM,5119562,661057,1409,,,,,,,,,,,,,,,28298,,,853,13109,,,,,,,453453,,,,,,,,,,,,,,,
4/30/2009 12:00:00 AM,4969739,216524,1330,,,,,,,,,,,,,,,6966,,,2850,28205,,,,,,,484248,,,,,,,,,,,,,,,
5/29/2009 12:00:00 AM,6144972,1765152,4406161,,,,,,,,,,,,,,,1539,,,901067,4194,,,,,,,1571824,,,,,,,,,,,,,,,
6/30/2009 12:00:00 AM,2508161,70018,167,,,,,,,,,,,,,,,3644,,,3826,12674,,,,,,,487773,,,,,,,,,,,,,,,
7/31/2009 12:00:00 AM,2358452,455476,1726,,,,,,,,,,,,,,,7500,,,8704,21870,,,,,,,189672,,,,,,,,,,,,83119,,,
8/31/2009 12:00:00 AM,7820715,163946,720666,,,,,,,,,,,,,,,14562,,,21895,14449,,,,,,,421212,,,,,,,,,,,,1098,,,
9/30/2009 12:00:00 AM,1388228,414873,20504,,,,,,,,,,,,,,,11151,,,9572,23654,,,,,,,322783,,,,,,,,,,,,194559,,,
10/30/2009 12:00:00 AM,10661642,517324,837436,,,,,,,,,,,,,,,20417,,,8844,10311,,,,,,,988362,,,,,,,,,,,,106,,,
11/30/2009 12:00:00 AM,4891372,318385,531740,,,,,,,,,,,,,,,5754,,,4741,20973,,,,,,,1420738,,,,,,,,,,,,426,,,
12/30/2009 12:00:00 AM,1685731,12109,226751,,,,,,,,,,,,,,,4827,,,3439,5171,,,,,,,409774,,,,,,,,,,,,136,,,
1/29/2010 12:00:00 AM,2717811,21216,772034,,,,,,,,6469,,,,,,,8077,,,9915,13299,,,,,,,965678,,,,,,,,,,,,399,,,
2/26/2010 12:00:00 AM,974615,163953,422005,,,,,,,,5163,,,,,,,10410,,,985,4290,,,,,,,297487,,,,,,,,,,,,1353,,,
3/31/2010 12:00:00 AM,883019,84010,379501,,,,,,,,6231,,,,,,,14159,,,6431,12692,,,,,,,560439,,,,,,,,,,,,1106,,,
4/30/2010 12:00:00 AM,758179,28275,304781,,,,,,,,10697,,,,,,,7166,,,4353,4425,,,,,,,448634,,,,,,,,,,,,1303,,,
5/31/2010 12:00:00 AM,1979678,16298,724790,,,,,,,,5440,,,,,,,4352,,,4037,5798,,,,,,,624951,,,,,,,,,,,,4679,,,
6/30/2010 12:00:00 AM,1779351,17852,232523,,,,,,,,140076,,,,,,,11275,,,12512,7524,,,,,,,817812,,,,,,,,,,,,1649,,,
7/30/2010 12:00:00 AM,924894,18280,231663,,,,,,,4519,4150,,,,,,,4271,,,5483,7410,,,,,,,766219,,,,,,,,,,,,1130,,,
8/31/2010 12:00:00 AM,1462985,224598,277479,,,,,,,10667,7308,,,,,,,6849,,,4744,5191,,,,,,,746916,,,5599,,,,,,,,,25308,,,
9/30/2010 12:00:00 AM,893776,37145,219468,,,,,,,6166,5341,,,,,,,6934,,,18338,7250,,,,,,,511551,,,4067,,,,,,,,,5315,,,
10/29/2010 12:00:00 AM,1865914,13464,303644,,,,,,,5271,21531,,,,,,,7669,,,13581,10863,,,,,,7398,553015,,,6242,,,,,,,,,1502,,,
11/30/2010 12:00:00 AM,1475590,10839,241770,,,,,,,5594,8246,,,,,,,9708,,,7469,27137,,,,,,2998,778835,,,10079,,,,,,,,,2968,,,
12/30/2010 12:00:00 AM,1658776,124660,200189,,,,,,,3203,5910,,,,,,,9722,,,16425,28631,,,,,,5409,611150,,,10941,,,,,,,,,1951,,,
1/31/2011 12:00:00 AM,972888,9197,168667,,,,,,,5374,2201,,,,,,,27109,,,120257,79112,,,,,,13679,745434,,,21212,,,,,,,,,405,,,
2/28/2011 12:00:00 AM,1757724,16273,296909,,,,,,,3797,5480,,,,,,,1704,,,4115,9652,,,,,,27006,563830,,,27840,,,,,,,,,4220,,,
3/31/2011 12:00:00 AM,1942268,17835,212514,,,,,,,5874,6075,,,,,,,8407,,,30765,61748,,,,,,6024,695603,,,9617,,,,,,,,,8705,,,
4/29/2011 12:00:00 AM,1182824,1901,245218,,,,,,,7449,4246,,,53870,,,,67064,,,56928,185679,,,,,,25720,758072,,,7167,,,,,,,,,14351,,,
5/31/2011 12:00:00 AM,1268055,15551,191436,,,,,,,6233,3826,,,61937,,,,8957,,,29061,25540,,,,,,22136,404450,,,5145,,,,,,,,,1229,,,
6/30/2011 12:00:00 AM,2061799,16997,242415,,,,,,,5386,3422,,,1269,,,,8915,,,45809,12066,,,,,,5109,1063061,,,15943,,,,,,,,,1652,,,
7/29/2011 12:00:00 AM,1675374,551333,147901,,,,,,,32197,4157,,,1679,,,,5512,,,9255,14876,,,,,,20797,339656,,,1373,,,,,,,,,1289,,,
8/31/2011 12:00:00 AM,4405163,7320,230816,,,,,,,74152,3065,,,3056,,,,6203,,,25968,36767,,,,,,123395,112172,,,4821,,,,,,,,,120,,,
9/30/2011 12:00:00 AM,6569338,38759,378804,,,,,,,101195,2202,,,395,,,,106793,,,17423,10779,,,,,,129067,208737,,,3266,,,,,,,,,46,,,
10/31/2011 12:00:00 AM,2860497,77729,236390,,,,,,,153312,2143,,,6832,,,,7717,,,23365,11210,,,,,,27676,761567,,,4045,,,,215,,,,,454,,,
11/30/2011 12:00:00 AM,8422083,36191,90426,,,,,,,174926,581,,,312,,,,1753,,,4897,10870,,,,,,82820,849466,,,43948,,,,281,,,,,5233,,,
12/29/2011 12:00:00 AM,1866182,852400,250210,,,,,,,151796,536,,,491,,,,1409,,,5028,50214,,,,,,39272,542487,,,8514,,,,570,,,,,658,,,
1/31/2012 12:00:00 AM,1779472,63672,894140,,,,,,,178311,569,,,13516,,,,11854,,,261516,107250,,,,,,22094,712001,,,24228,,,,336,,,,,744,,,
2/29/2012 12:00:00 AM,3165732,114436,173839,,,,,,,132644,4314,,,210,,,,59844,,,25536,17000,,,,,,105924,759939,,,14181,,,,104,5546,,,,213,,,
3/30/2012 12:00:00 AM,3035344,100490,281053,,,,,,,159809,3111,,,162,,,,8551,,,13138,23112,,,,,,9277,226795,,,5344,,,,211,15075,,,,110,,,
4/30/2012 12:00:00 AM,4568990,39461,150193,,,,,,,212334,3277,,,126,,,,3909,,,25276,31158,,,,,,21248,929864,,,13423,,,,178,18396,,,,3599,,,
5/31/2012 12:00:00 AM,3535668,50516,145901,,,,,,,169421,3512,,,161,,,,2139,,,2478,4019,,,,,,16106,706812,,,6963,,,15,2012,12819,,,,5721,,,
6/29/2012 12:00:00 AM,3769802,34009,309637,,,,,,,165983,241,,,770,,,,4747,,,10785,19120,,,,,,36213,218771,,,57794,,,50,2594,89376,,,,10585,,,
7/31/2012 12:00:00 AM,11091497,55640,238047,,,,,,,177475,109,,,357,,,,2901,,,18085,30707,,,,,,48306,594099,,,12503,,,12,2363,103144,,,,10435,,,
