D A T E,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
4/30/2007 12:00:00 AM,16065,,,,,,,,,,,,,,,,10210,,5981,8391,,,,,,,,,,,,,,,,,,,
5/31/2007 12:00:00 AM,17505,,,,,,,,,,,,,,,,11351,,6530,8421,,,,,,,,,,,,,,,,,,,
6/29/2007 12:00:00 AM,17954,,,,,,,,,,,,,,,,12316,,7001,8305,,,,,,,,,,,,,,,,,,,
7/31/2007 12:00:00 AM,19862,,,,,,,,,,,,,,,,13452,,7902,8967,,,,,,,,,,,,,,,,,,,
8/31/2007 12:00:00 AM,19420,,,,,,,,,,,,,,,,13324,,7230,8361,,,,,,,,,,,,,,,,,,,
9/28/2007 12:00:00 AM,20053,,,,,,,,,,,,,,,,13737,,7124,8459,,,,,,,,,,,,,,,,,,,
10/31/2007 12:00:00 AM,21241,,,,,,,,,,,,,,,,12240,,6706,8193,,,,,,,,,,,,,,,,,,,
11/30/2007 12:00:00 AM,19852,,,,,,,,,,,,,,,,11375,,6588,7472,,,,,,,,,,,,,,,,,,,
12/28/2007 12:00:00 AM,19884,,,,,,,,,,,,,,,,11304,,6728,8406,,,,,,,,,,,,,,,,,,,
1/31/2008 12:00:00 AM,17253,,,,,,,,,,,,,,,,10885,,6201,7801,,,,,,,,,,,,,,,,,,,
2/29/2008 12:00:00 AM,17992,,,,,,,,,,,,,,,,10876,,5893,7334,,,,,,,,,,,,,,,,,,,
3/31/2008 12:00:00 AM,18036,,,,,,,,,,,,,,,,11931,,6341,7121,,,,,,,,,,,,,,,,,,,
4/30/2008 12:00:00 AM,19397,,19296,,,,,,,,,,,,,,12564,,6966,8317,,,,,,,,,,,,,,,,,,,
5/30/2008 12:00:00 AM,19703,,19477,,,,,,,,,,,,,,13670,,6909,7776,,,,,,4324,,,,,,,,,,,,,
6/30/2008 12:00:00 AM,17761,,18432,,,,,,,,,,,,,,11110,,6188,7154,,,,,,3765,,,,,,,,,,,,,
7/31/2008 12:00:00 AM,16956,,16762,,,,,,,,,,,,,,9431,,6250,6807,,,,,,3599,,,,,,,,,,,,,
8/29/2008 12:00:00 AM,15724,,15684,,,,,,,,,,,,,,8382,,6294,6986,,,,,,3291,,,,,,,,,,,,,
9/30/2008 12:00:00 AM,15435,15705,15219,,,,,,,,,,,,,,8397,,6533,5896,,,,,,3420,,,,,,,,,,,,,
10/31/2008 12:00:00 AM,12442,12389,12092,,,,,,,,,,,,,,6666,,5021,3958,,,,,,2879,,,,,,,,,,,,,
11/28/2008 12:00:00 AM,11818,11793,12076,,,,,,,,,,,,,,6113,,3952,3680,,,,,,2942,,,,,,,,,,,,,
12/30/2008 12:00:00 AM,12277,12591,12240,,,,,,,,,,,,,,6098,,4018,3836,,,,,,2759,,,,,,,,,,,,,
1/30/2009 12:00:00 AM,12732,12784,12648,,,,,,,,,,,,,,6885,,4243,4138,,,,,,2973,,,,,,,,,,,,,
2/27/2009 12:00:00 AM,11574,11709,11463,,,,,,,,,,,,,,7319,,4270,3299,,,,,,2642,,,,,,,,,,,,,
3/31/2009 12:00:00 AM,13228,15180,13117,,,,,,,,,,,,,,9279,,4866,3657,,,,,,3076,,,,,,,,,,,,,
4/30/2009 12:00:00 AM,14807,14857,14595,,,,,,,,,,,,,,10337,,5963,4420,,,,,,3503,,,,,,,,,,,,,
5/29/2009 12:00:00 AM,15050,15077,14873,,,,,,,,,,,,,,10661,,6303,4851,,,,,,3742,,,,,,,,,,,,,
6/30/2009 12:00:00 AM,15083,15153,15093,,,,,,,,,,,,,,10566,,6444,5022,,,,,,3647,,,,,,,,,,,,,
7/31/2009 12:00:00 AM,17125,17108,16880,,,,,,,,,,,,,,11710,,7474,6346,,,,,,4039,,,,,,,,,40523,,,,
8/31/2009 12:00:00 AM,17478,17517,17186,,,,,,,,,,,,,,13556,,8305,6174,,,,,,4404,,,,,,,,,40358,,,,
9/30/2009 12:00:00 AM,18585,18535,18269,,,,,,,,,,,,,,14047,,9101,7162,,,,,,4589,,,,,,,,,40599,,,,
10/30/2009 12:00:00 AM,17511,17517,17132,,,,,,,,,,,,,,13255,,8871,7059,,,,,,4310,,,,,,,,,40583,,,,
11/30/2009 12:00:00 AM,17335,17429,16975,,,,,,,,,,,,,,13155,,8257,6830,,,,,,4278,,,,,,,,,41194,,,,
12/30/2009 12:00:00 AM,18933,18970,18588,,,,,,,,,,,,,,14743,,9675,6864,,,,,,4490,,,,,,,,,40981,,,,
1/29/2010 12:00:00 AM,17935,17935,17605,,,,,,,,77709,,,,,,13699,,8791,6327,,,,,,4328,,,,,,,,,41308,,,,
2/26/2010 12:00:00 AM,17763,17868,17464,,,,,,,,78070,,,,,,13250,,9260,6269,,,,,,4332,,,,,,,,,41660,,,,
3/31/2010 12:00:00 AM,18937,18986,18580,,,,,,,,78694,,,,,,15172,,9578,6796,,,,,,4612,,,,,,,,,42074,,,,
4/30/2010 12:00:00 AM,19501,19567,19129,,,,,,,,78973,,,,,,16471,,10940,6994,,,,,,4924,,,,,,,,,42492,,,,
5/31/2010 12:00:00 AM,18311,18297,20004,,,,,,,,79066,,,,,,15997,,11748,6253,,,,,,4670,,,,,,,,,42573,,,,
6/30/2010 12:00:00 AM,18868,18926,18485,,,,,,,,79140,,,,,,16236,,12261,6418,,,,,,4824,,,,,,,,,42503,,,,
7/30/2010 12:00:00 AM,19607,19696,19259,,,,,,,80956,79419,,,,,,15969,,12136,6821,,,,,,4969,,,,,,,,,42752,,,,
8/31/2010 12:00:00 AM,19428,19507,18983,,,,,,,81113,79609,,,,,,14802,,12029,6379,,,,,,4810,,,,,,,,,43254,,,,
9/30/2010 12:00:00 AM,20744,20816,20339,,,,,,,81429,80082,,,,,,15629,,14177,6571,,,,,,5005,,,,,,,,,43651,,,,
10/29/2010 12:00:00 AM,20905,20872,20325,,,,,,,81676,80345,,,,,,15381,,15347,6522,,,,,,5041,,,,,,,,,43749,,,,
11/30/2010 12:00:00 AM,21570,21505,20984,,,,,,,81825,80504,,,,,,15730,,15592,6798,,,,,,5413,,,,,,,,,43914,,,,
12/30/2010 12:00:00 AM,23460,23554,22984,,,,,,,81985,80608,,,,,,16509,,16016,7721,,,,,,5835,,,,,,,,,43823,,,,
1/31/2011 12:00:00 AM,23652,23708,23127,,,,,,,82091,80524,,,,,,17537,,16119,7359,,,,,,5889,,,,,,,,,43544,,,,
2/28/2011 12:00:00 AM,22234,22275,21785,,,,,,,82275,80800,,,,,,16528,,16280,7075,,,,,,5486,,,,,,,,,43856,,,,
3/31/2011 12:00:00 AM,24167,24213,23617,,,,,,,82549,81045,,,,,,17331,,19406,7532,,,,,,5794,,,,,,,,,44144,,,,
4/29/2011 12:00:00 AM,25199,25074,24542,,,,,,,82671,81173,,12779,,,,17345,,22246,7565,,,,,,5825,,,,,,,,,44207,,,,
5/31/2011 12:00:00 AM,24647,24555,24021,,,,,,,82982,81530,,12068,,,,15708,,22604,6895,,,,,,5730,,,,,,,,,44466,,,,
6/30/2011 12:00:00 AM,23948,23923,23374,,,,,,,83145,81627,,11053,,,,14976,,22550,6934,,,,,,5807,,,,,,,,,44420,,,,
