이름,종목코드,종목명,수량(전),비중(전),평가액(전),MP비중,매매방향,매매수량,수량(후),가격(후),평가액(후),비중(후)
적극투자형대규모,A157490,TIGER 소프트웨어,19,25.7,"325,660",24.0,매도,1,18,"17,140","308,520",24.3
적극투자형대규모,A278540,KODEX MSCI Korea TR,23,22.8,"289,685",24.0,매수,1,24,"12,595","302,280",23.8
적극투자형대규모,A237370,KODEX 배당성장채권혼합,25,23.7,"300,875",24.0,-,0,25,"12,035","300,875",23.7
적극투자형대규모,A102780,KODEX 삼성그룹,17,13.4,"169,490",13.6,매수,1,18,"9,970","179,460",14.1
적극투자형대규모,A069500,KODEX 200,3,9.3,"118,380",8.4,-,0,3,"39,460","118,380",9.3
적극투자형대규모,A114260,KODEX 국고채3년,1,4.5,"57,210",6.0,-,0,1,"57,210","57,210",4.5
적극투자형대규모,C000001,현금,"7,460",0.6,"7,460",0.0,-,5425,"2,035",1,"2,035",0.2
