date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-10-29,A114260,A001,안정추구형소규모,Fixed Income,KODEX 국고채3년,2,57210.0,114420.0,57210.0,114420.0,0.1615736556710348,,Rebal
2021-10-29,A122260,A001,안정추구형소규모,Fixed Income,KOSEF 통안채1년,2,101165.0,202330.0,101165.0,202330.0,0.2857122684139178,,Rebal
2021-10-29,A130730,A001,안정추구형소규모,Fixed Income,KOSEF 단기자금,2,101250.0,202500.0,101250.0,202500.0,0.28595232715770447,,Rebal
2021-10-29,A196230,A001,안정추구형소규모,Fixed Income,KBSTAR 단기통안채,1,104630.0,104630.0,104630.0,104630.0,0.14774909624943516,,Rebal
2021-10-29,A069500,A001,안정추구형소규모,Equity,KODEX 200,1,39460.0,39460.0,39460.0,39460.0,0.055721870763669225,,Rebal
2021-10-29,A251350,A001,안정추구형소규모,Equity,KODEX 선진국MSCI World,1,20805.0,20805.0,20805.0,20805.0,0.02937895390872119,,Rebal
2021-10-29,A237370,A001,안정추구형소규모,Alternative,KODEX 배당성장채권혼합,1,12035.0,12035.0,12035.0,12035.0,0.016994746949841842,,Rebal
2021-10-29,C000001,A001,안정추구형소규모,Cash,현금,11980.0,1,11980.0,1,11980.0,0.016917080885675555,,Rebal
