date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-10-29,A114260,A003,안정추구형대규모,Fixed Income,KODEX 국고채3년,5,57210.0,286050.0,57210.0,286050.0,0.2205814312152992,,Rebal
2021-10-29,A122260,A003,안정추구형대규모,Fixed Income,KOSEF 통안채1년,3,101165.0,303495.0,101165.0,303495.0,0.2340337754472548,,Rebal
2021-10-29,A130730,A003,안정추구형대규모,Fixed Income,KOSEF 단기자금,3,101250.0,303750.0,101250.0,303750.0,0.23423041332510797,,Rebal
2021-10-29,A196230,A003,안정추구형대규모,Fixed Income,KBSTAR 단기통안채,2,104630.0,209260.0,104630.0,209260.0,0.16136644046884638,,Rebal
2021-10-29,A069500,A003,안정추구형대규모,Equity,KODEX 200,2,39460.0,78920.0,39460.0,78920.0,0.060857495373226406,,Rebal
2021-10-29,A251350,A003,안정추구형대규모,Equity,KODEX 선진국MSCI World,3,20805.0,62415.0,20805.0,62415.0,0.048130012338062925,,Rebal
2021-10-29,A237370,A003,안정추구형대규모,Alternative,KODEX 배당성장채권혼합,3,12035.0,36105.0,12035.0,36105.0,0.027841610117211597,,Rebal
2021-10-29,C000001,A003,안정추구형대규모,Cash,현금,16805.0,1,16805.0,1,16805.0,0.012958821714990746,,Rebal
